state,policy,type,levenshtein_avg,moverscore_avg,levenshtein_moverscore_avg,accuracy,precision,recall,f1_score,levenshtein_first_name,levenshtein_middle_name,levenshtein_last_name,levenshtein_data_of_injury,levenshtein_policy_number
WI,POL123456789,dg,0.93544899441258,0.9972326038361976,0.9408214821885464,0.8695652173913043,1.0,0.8695652173913043,0.9302325581395348,1.0,1.0,1.0,1.0,1.0
WI,POL987654321,dg,0.9683288130066842,0.8871583346506262,0.96127051054094,0.8985507246376812,1.0,0.8985507246376812,0.9465648854961832,1.0,1.0,1.0,1.0,1.0
WI,SIC123456789,dg,0.9672832095801284,0.9960397466437244,0.9697837780204408,0.8985507246376812,1.0,0.8985507246376812,0.9465648854961832,1.0,1.0,1.0,1.0,1.0
WI,POL123456789,hw,0.8239927044155616,0.9290318103469192,0.8331265397139406,0.5507246376811594,1.0,0.5507246376811594,0.7102803738317757,1.0,1.0,1.0,1.0,0.9565217391304348
OH,POL123456789,dg,0.92712615562657,1.0,0.9291226993080336,0.8904109589041096,1.0,0.8904109589041096,0.9420289855072465,1.0,0.6666666666666667,1.0,1.0,1.0
OH,POL987654321,dg,0.9419827912946414,1.0,0.9435723038619116,0.9178082191780822,1.0,0.9178082191780822,0.9571428571428572,1.0,1.0,1.0,1.0,1.0
OH,SIC123456789,dg,0.9427756078957404,1.0,0.9443433994602408,0.9178082191780822,1.0,0.9178082191780822,0.9571428571428572,1.0,1.0,1.0,1.0,1.0
OH,POL123456789,hw,0.8499323482087365,0.8374395301221593,0.8495900792200632,0.6301369863013698,1.0,0.6301369863013698,0.773109243697479,1.0,1.0,1.0,1.0,0.8181818181818181
OH,POL987654321,hw,0.8242373984525342,1.0,0.8290528121935606,0.6712328767123288,1.0,0.6712328767123288,0.8032786885245902,1.0,1.0,1.0,1.0,0.8695652173913043
NY,POL123456789,dg,0.9934331494615182,0.9965609914292138,0.9934712938757584,0.975609756097561,1.0,0.975609756097561,0.9876543209876544,1.0,1.0,1.0,1.0,1.0
NY,POL987654321,dg,0.9843685201135676,1.0,0.9845591479170606,0.975609756097561,1.0,0.975609756097561,0.9876543209876544,1.0,1.0,1.0,1.0,1.0
NY,SIC123456789,dg,0.9896610591055036,1.0,0.9897871437505584,0.9634146341463414,1.0,0.9634146341463414,0.9813664596273292,1.0,1.0,1.0,1.0,1.0
NY,POL123456789,hw,0.9857268463705114,0.5504396337139629,0.9804184657283588,0.8902439024390244,1.0,0.8902439024390244,0.9419354838709678,1.0,1.0,1.0,1.0,1.0
NY,POL987654321,hw,0.9680424683482857,0.9962447310114726,0.9683863983807636,0.8902439024390244,1.0,0.8902439024390244,0.9419354838709678,1.0,1.0,1.0,1.0,1.0
